id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
10047956568026797881,0,2014-10-21 00:00:00,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,5a83756c,1f0bc64f,1,0,20366,320,50,2333,0,39,-1,157
10060080737601186118,0,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c6e93acc,8a4875bd,1,0,15701,320,50,1722,0,35,100084,79
10101644009186275581,0,2014-10-21 00:00:00,1010,1,85f751fd,c4e18dd6,50e219e0,ffc6ffd0,7801e8d9,0f2161f8,a96a47c0,96db84ee,b4196eca,4,0,21665,320,50,2493,3,35,-1,117
10242171825760542111,0,2014-10-21 00:00:00,1005,0,26fa1946,e2a5dc06,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,61468736,5db079b5,1,2,20366,320,50,2333,0,39,100103,157
10260687987362092029,0,2014-10-21 00:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,0acbeaa3,45a51db4,f95efa07,a99f214a,056c2c1b,4ea23a13,1,0,20596,320,50,2161,0,35,-1,157
1042105605292374202,0,2014-10-21 00:00:00,1005,1,930c2840,9d3b56b1,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,38b1b13e,900981af,1,2,20596,320,50,2161,0,35,-1,157
10466745806386449320,0,2014-10-21 00:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,c8e3e3c1,b5f3b24a,8ded1f7a,ecb8b599,cb1c2934,0dedddc5,1,2,18987,320,50,2158,3,291,100190,61
10531026414895278198,0,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4cf55065,570d21dc,1,0,15701,320,50,1722,0,35,-1,79
10671282808001344450,0,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4773b8f6,7fdd04d2,1,0,15703,320,50,1722,0,35,100084,79
10722726943962949601,0,2014-10-21 00:00:00,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,a98e3a73,d787e91b,1,0,20366,320,50,2333,0,39,-1,157
10875582139369474949,0,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1ef6ae81,8a4875bd,1,0,15702,320,50,1722,0,35,-1,79
10903324268248144539,1,2014-10-21 00:00:00,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,004b4a39,d787e91b,1,0,20366,320,50,2333,0,39,-1,157
10970131327006448140,0,2014-10-21 00:00:00,1002,0,85f751fd,c4e18dd6,50e219e0,9f41cdad,7801e8d9,07d7df22,a4497761,7f124a35,23c526cf,0,0,21665,320,50,2493,3,35,-1,117
11171052458039738083,1,2014-10-21 00:00:00,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,5083786e,05e70df4,1,0,17654,300,250,1994,2,39,100084,33
11207648661556051661,1,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ad30959f,5db079b5,1,2,15707,320,50,1722,0,35,-1,79
1124230849664354111,0,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f02fc798,8a4875bd,1,0,15702,320,50,1722,0,35,-1,79
